retained_path,sha256,size_bytes,source_aliases,source_duplicate_count
.local-reference-library/homomorphic-research/Quantum Homomorphic Encryption/Quantum homomorphic encryption for polynomial-sized circuits (extended abstract).pdf,966c9387f4314066a038534fe15e388403775bb3db23a7f503250d1c8b53202c,180433,Homomorphic/Theory/Quantum Homomorphic Encryption/Quantum homomorphic encryption for polynomial-sized circuits (extended abstract).pdf,1
.local-reference-library/homomorphic-research/Περασμένα σε LaTeX/homomorphic schemes/post quantum/1508.00938.pdf,6c13396b3b601819d007ede13aa3b3632a4a656e722debd9a6be49116ced0872,614089,Homomorphic/Theory/Quantum Homomorphic Encryption/Quantum homomorphic encryption from quantum codes.pdf | Homomorphic/Theory/Περασμένα σε LaTeX/homomorphic schemes/post quantum/1508.00938.pdf,2
".local-reference-library/homomorphic-research/Quantum Homomorphic Encryption/Quantum homomorphic encryption scheme with flexible number of evaluator based on ( k, n )-threshold quantum state sharing.pdf",59dbfa1d7363474510e12beb775e5b43b2e660a93b4dfa40f2f323e1f18e526f,621594,"Homomorphic/Theory/Quantum Homomorphic Encryption/Quantum homomorphic encryption scheme with flexible number of evaluator based on ( k, n )-threshold quantum state sharing.pdf",1
.local-reference-library/homomorphic-research/Quantum Homomorphic Encryption/Quantum Homomorphic Encryption.7z,80dac81a467607979d49d3ebe110e9f37eee5b741be671923b76b887ac0d84d0,18572619,Homomorphic/Theory/Quantum Homomorphic Encryption/Quantum Homomorphic Encryption.7z,1
.local-reference-library/homomorphic-research/Quantum Homomorphic Encryption/QUANTUM HOMOMORPHIC ENCRYPTION.pdf,4c0d88cac5f9d7c0f05ce3cdb3d51e7bdd2791243c4819487c1c0652b186164d,1615673,Homomorphic/Theory/Quantum Homomorphic Encryption/QUANTUM HOMOMORPHIC ENCRYPTION.pdf,1
.local-reference-library/homomorphic-research/Quantum Homomorphic Encryption/Quantum Search on Encrypted.pdf,66daa4c87dacb9db476cb91019080190b64413bcf62a04af8e7e4dd8d563fafd,1512242,Homomorphic/Theory/Quantum Homomorphic Encryption/Quantum Search on Encrypted.pdf,1
.local-reference-library/homomorphic-research/Quantum Homomorphic Encryption/Randomly Choose an Angle from Immense.pdf,c63e7a7eebb3691c59e543edf5fcd3796ee9106d9577473ed0df269f4ae8ce25,770492,Homomorphic/Theory/Quantum Homomorphic Encryption/Randomly Choose an Angle from Immense.pdf,1
.local-reference-library/homomorphic-research/Quantum Homomorphic Encryption/Rate-1 Quantum Fully Homomorphic Encryption.pdf,75abdb4e0d4d7d181c30f6ae1e028ba73d6c77c556510045637a9fc6f4b6886e,357090,Homomorphic/Theory/Quantum Homomorphic Encryption/Rate-1 Quantum Fully Homomorphic Encryption.pdf,1
.local-reference-library/homomorphic-research/Quantum Homomorphic Encryption/SECURE ASSISTED QUANTUM COMPUTATION.pdf,a03df4c2220af6bed77d02ffa1258998906266c6606df5840341294a96c9e6de,196569,Homomorphic/Theory/Quantum Homomorphic Encryption/SECURE ASSISTED QUANTUM COMPUTATION.pdf,1
.local-reference-library/homomorphic-research/Quantum Homomorphic Encryption/T-FG-QIT4N-2021-D1.1-PDF-E.pdf,8f7ca5fcb407489d461ad9ab9b8d5b8ae5a5981857e6a17a5c233fa9146d06ab,318181,Homomorphic/Theory/Quantum Homomorphic Encryption/T-FG-QIT4N-2021-D1.1-PDF-E.pdf,1
.local-reference-library/homomorphic-research/Randoms/A_Secure_and_High_Visual-Quality_Framework_for_Medical_Images_by_Contrast-Enhancement_Reversible_Data_Hiding_and_Homomorphic_Encryption.pdf,55dac7ffe64377a4d524aaa0dafcff93e822496e6136b8df70640e6b8ee155f1,23187139,Homomorphic/Theory/Randoms/A_Secure_and_High_Visual-Quality_Framework_for_Medical_Images_by_Contrast-Enhancement_Reversible_Data_Hiding_and_Homomorphic_Encryption.pdf,1
